trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.8, 'e': 0.9670824410682997}",20,0,-31.68798395013349,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
2,False,"{'a': 0.8, 'e': 0.9352484478226214}",30,0,-234.23410696064832,"{0: 16, 1: 2, 2: 6, 3: 3, 4: 3}",0
3,False,"{'a': 0.8, 'e': 0.904462351925639}",30,0,-259.62038674239676,"{0: 16, 1: 4, 2: 4, 3: 1, 4: 5}",0
4,False,"{'a': 0.8, 'e': 0.8746896591546225}",30,1,-75.20215896725263,"{0: 22, 1: 0, 2: 6, 3: 0, 4: 1}",1
5,False,"{'a': 0.8, 'e': 0.8458970107524514}",20,6,-58.09912698129548,"{0: 9, 1: 1, 2: 3, 3: 0, 4: 1}",1
6,False,"{'a': 0.8, 'e': 0.8180521460508584}",20,0,-96.4257148233757,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
7,False,"{'a': 0.8, 'e': 0.7911238663240253}",20,0,16.580546993883146,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
8,False,"{'a': 0.8, 'e': 0.7650819998320296}",25,0,-122.2769770207608,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 2}",0
9,False,"{'a': 0.8, 'e': 0.7398973680149756}",20,0,-70.34460290705367,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
10,False,"{'a': 0.8, 'e': 0.7155417527999328}",25,0,-38.574218391726355,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
11,False,"{'a': 0.8, 'e': 0.6919878649840489}",30,0,-185.8289102527389,"{0: 17, 1: 3, 2: 6, 3: 1, 4: 3}",0
12,False,"{'a': 0.8, 'e': 0.669209313658415}",20,0,-92.60471550452168,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
13,False,"{'a': 0.8, 'e': 0.6471805766384213}",30,7,-31.015822035986425,"{0: 17, 1: 1, 2: 5, 3: 0, 4: 0}",1
14,False,"{'a': 0.8, 'e': 0.6258769718674743}",30,0,-121.46322589086806,"{0: 20, 1: 4, 2: 4, 3: 0, 4: 2}",0
15,False,"{'a': 0.8, 'e': 0.6052746297620326}",25,0,-53.55739999648953,"{0: 18, 1: 1, 2: 5, 3: 1, 4: 0}",0
16,False,"{'a': 0.8, 'e': 0.5853504664669779}",30,0,-47.63589362775245,"{0: 23, 1: 3, 2: 2, 3: 2, 4: 0}",0
17,False,"{'a': 0.8, 'e': 0.5660821579913529}",30,0,-38.749003092909064,"{0: 24, 1: 0, 2: 5, 3: 1, 4: 0}",0
18,False,"{'a': 0.8, 'e': 0.5474481151954884}",20,0,-46.68362469791015,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
19,False,"{'a': 0.8, 'e': 0.5294274596014926}",25,0,-96.66528659924111,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
20,False,"{'a': 0.8, 'e': 0.5120000000000001}",25,0,-6.697193872265282,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
21,False,"{'a': 0.8, 'e': 0.49514620982696955}",20,0,-57.952859698606645,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
22,False,"{'a': 0.8, 'e': 0.4788472052851822}",25,0,-89.15733684935404,"{0: 15, 1: 2, 2: 6, 3: 2, 4: 0}",0
23,False,"{'a': 0.8, 'e': 0.4630847241859273}",25,0,-40.63449854105918,"{0: 19, 1: 2, 2: 2, 3: 2, 4: 0}",0
24,False,"{'a': 0.8, 'e': 0.4478411054871668}",25,13,23.60292078776493,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
25,False,"{'a': 0.8, 'e': 0.4330992695052551}",20,14,4.762464465381044,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
26,False,"{'a': 0.8, 'e': 0.4188426987780396}",30,13,-2.949379795542116,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 0}",1
27,False,"{'a': 0.8, 'e': 0.40505541955790103}",25,0,-2.81447886700754,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
28,False,"{'a': 0.8, 'e': 0.3917219839139992}",20,6,-56.374443464233636,"{0: 9, 1: 2, 2: 2, 3: 0, 4: 1}",1
29,False,"{'a': 0.8, 'e': 0.37882745242366767}",25,7,-74.72548754868376,"{0: 13, 1: 1, 2: 1, 3: 2, 4: 1}",1
30,False,"{'a': 0.8, 'e': 0.3663573774335656}",25,0,-88.21834095111929,"{0: 19, 1: 2, 2: 2, 3: 0, 4: 2}",0
31,False,"{'a': 0.8, 'e': 0.3542977868718331}",20,0,-159.413525679041,"{0: 10, 1: 2, 2: 4, 3: 2, 4: 2}",0
32,False,"{'a': 0.8, 'e': 0.3426351685931085}",25,6,32.53024696288311,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
33,False,"{'a': 0.8, 'e': 0.33135645523887175}",20,0,7.113359171034441,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
34,False,"{'a': 0.8, 'e': 0.3204490095961469}",20,2,15.023202001665755,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
35,False,"{'a': 0.8, 'e': 0.30990061043816075}",20,2,-1.7660533423575864,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 0}",1
36,False,"{'a': 0.8, 'e': 0.29969943883109273}",20,2,9.910432658407256,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 0}",1
37,False,"{'a': 0.8, 'e': 0.2898340648915727}",30,0,-109.8650957766409,"{0: 24, 1: 1, 2: 2, 3: 0, 4: 3}",0
38,False,"{'a': 0.8, 'e': 0.2802934349800901}",25,8,17.470487907092313,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
39,False,"{'a': 0.8, 'e': 0.2710668593159643}",25,0,3.4814855721529234,"{0: 21, 1: 3, 2: 1, 3: 0, 4: 0}",1
40,False,"{'a': 0.8, 'e': 0.2621440000000001}",30,13,6.759609175000275,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
41,False,"{'a': 0.8, 'e': 0.25351485943140845}",30,5,-15.778284440444923,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",1
42,False,"{'a': 0.8, 'e': 0.24516976910601335}",20,4,12.416858315079132,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
43,False,"{'a': 0.8, 'e': 0.23709937878319476}",20,4,11.730753418422008,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
44,False,"{'a': 0.8, 'e': 0.22929464600942945}",25,17,6.437331468576046,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
45,False,"{'a': 0.8, 'e': 0.22174682598669068}",25,0,-16.073675254423755,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
46,False,"{'a': 0.8, 'e': 0.2144474617743563}",20,6,-32.70877141668914,"{0: 10, 1: 0, 2: 3, 3: 1, 4: 0}",1
47,False,"{'a': 0.8, 'e': 0.20738837481364536}",20,11,-0.38760285642985526,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
48,False,"{'a': 0.8, 'e': 0.20056165576396767}",30,0,44.482811576568665,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
49,False,"{'a': 0.8, 'e': 0.19395965564091786}",25,11,26.72904228981673,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
50,False,"{'a': 0.8, 'e': 0.18757497724598562}",25,10,-18.58348687034933,"{0: 11, 1: 0, 2: 4, 3: 0, 4: 0}",1
51,False,"{'a': 0.8, 'e': 0.18140046687837857}",30,0,-54.67698711310472,"{0: 24, 1: 2, 2: 2, 3: 1, 4: 1}",0
52,False,"{'a': 0.8, 'e': 0.1754292063196716}",20,7,12.91228252487686,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
53,False,"{'a': 0.8, 'e': 0.1696545050823024}",25,0,17.017305989815686,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",1
54,False,"{'a': 0.8, 'e': 0.16406989291322727}",25,0,15.409022560427086,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
55,False,"{'a': 0.8, 'e': 0.15866911254433833}",25,13,26.067407035789703,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
56,False,"{'a': 0.8, 'e': 0.15344611268151948}",25,0,-21.85901957897113,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
57,False,"{'a': 0.8, 'e': 0.14839504122448527}",30,1,14.900670479733684,"{0: 28, 1: 0, 2: 0, 3: 1, 4: 0}",1
58,False,"{'a': 0.8, 'e': 0.14351023870980617}",30,22,17.678074927664262,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
59,False,"{'a': 0.8, 'e': 0.13878623196977374}",25,14,10.262148243463866,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
60,False,"{'a': 0.8, 'e': 0.13421772800000006}",20,2,-22.415541711413812,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 1}",1
61,False,"{'a': 0.8, 'e': 0.12979960802888113}",20,13,0.5114195913467334,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
62,False,"{'a': 0.8, 'e': 0.12552692178227887}",20,9,-2.086448965046345,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
63,False,"{'a': 0.8, 'e': 0.12139488193699577}",20,14,9.673166653041598,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
64,False,"{'a': 0.8, 'e': 0.1173988587568279}",25,20,11.427274482905048,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
65,False,"{'a': 0.8, 'e': 0.11353437490518564}",25,18,-1.1172442956723494,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
66,False,"{'a': 0.8, 'e': 0.10979710042847043}",20,13,4.958921405304624,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
67,False,"{'a': 0.8, 'e': 0.10618284790458647}",25,15,16.74126225667997,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
68,False,"{'a': 0.8, 'e': 0.10268756775115147}",25,0,-29.556435249369684,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
69,False,"{'a': 0.8, 'e': 0.09930734368814996}",20,12,15.64453358256987,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
70,False,"{'a': 0.8, 'e': 0.09603838834994466}",30,15,13.150585220945825,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
71,False,"{'a': 0.8, 'e': 0.09287703904172984}",20,10,7.079557000863302,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
72,False,"{'a': 0.8, 'e': 0.08981975363567189}",25,8,28.55859996425222,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
73,False,"{'a': 0.8, 'e': 0.08686310660213885}",25,5,32.075888206440965,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
74,False,"{'a': 0.8, 'e': 0.08400378517157236}",25,5,30.475744301911895,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
75,False,"{'a': 0.8, 'e': 0.08123858562270124}",25,8,27.39549453410499,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
76,False,"{'a': 0.8, 'e': 0.07856440969293797}",25,4,-5.483743041927896,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 1}",1
77,False,"{'a': 0.8, 'e': 0.07597826110693648}",20,5,22.72725106207133,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
78,False,"{'a': 0.8, 'e': 0.07347724221942077}",25,15,18.54059954460097,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
79,False,"{'a': 0.8, 'e': 0.07105855076852416}",25,11,22.523425642375678,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
80,False,"{'a': 0.8, 'e': 0.06871947673600004}",20,4,-5.8725000147980975,"{0: 14, 1: 0, 2: 1, 3: 1, 4: 0}",1
81,False,"{'a': 0.8, 'e': 0.06645739931078715}",25,3,-27.235705594586765,"{0: 20, 1: 0, 2: 0, 3: 1, 4: 1}",1
82,False,"{'a': 0.8, 'e': 0.06426978395252679}",25,0,17.994086429849695,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
83,False,"{'a': 0.8, 'e': 0.062154179551741844}",20,7,9.78514427794986,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
84,False,"{'a': 0.8, 'e': 0.06010821568349589}",25,0,37.96367469326801,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
85,False,"{'a': 0.8, 'e': 0.05812959995145506}",30,8,29.50323547362448,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
86,False,"{'a': 0.8, 'e': 0.05621611541937687}",25,15,15.741160879963982,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
87,False,"{'a': 0.8, 'e': 0.05436561812714828}",20,5,25.321463460185893,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
88,False,"{'a': 0.8, 'e': 0.05257603468858956}",20,11,9.931313096703096,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
89,False,"{'a': 0.8, 'e': 0.05084535996833279}",30,20,18.90029842554683,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
90,False,"{'a': 0.8, 'e': 0.04917165483517168}",20,7,19.849667236168408,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",25,13,20.701111038889678,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",35,18,31.931465489596455,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",20,12,15.439877284102824,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",25,15,21.792982163333704,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",20,12,11.200424965056495,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",20,13,12.84428707145512,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",35,23,26.60526118350975,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",25,15,16.57292928781974,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,0,30.000333385704746,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",25,20,10.61163983404552,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
